Index Saldo,,Index Saldo Prom,,Index deuda sistea,,Index Pasivo,,Index Venta
-1.35E+00,,-9.46E-01,,-0.98188992,,-1.85230355,,1.12E+00
1.51E-01,,1.41E-01,,0.14969418,,0,,3.93E-01
-7.10E-01,,-7.10E-01,,-1.77142434,,0,,-1.10E+00
4.59E+00,,4.59E+00,,-2.30478977,,3.15627951,,-1.48E+00
-1.10E+00,,-6.96E-01,,-2.79046795,,0,,2.94E+00
-1.49E+00,,-1.49E+00,,-0.93281363,,-5.34961066,,6.58E-01
8.37E-01,,8.37E-01,,0.16066512,,-2.81033365,,2.58E+00
1.81E-01,,1.81E-01,,-0.40163841,,3.70551583,,6.86E-01
-4.40E-03,,-4.40E-03,,1.31286965,,1.36822393,,6.40E-01
-1.56E+00,,-1.56E+00,,-4.35222181,,8.1882005,,7.91E-01
9.39E-01,,9.49E-01,,0.94189344,,0,,6.24E-01
-4.40E-01,,-4.40E-01,,-1.0191369,,3.63849023,,8.68E-01
1.59E+00,,1.59E+00,,0.56371891,,1.91845195,,4.60E-01
1.27E+00,,1.28E+00,,-4.26783504,,8.29338927,,-6.45E-01
1.60E+00,,1.60E+00,,0.38733607,,0.44070051,,-2.10E+00
-4.27E+00,,-4.27E+00,,-0.75729608,,0,,-2.59E+00
1.33E+00,,1.33E+00,,5.21149894,,3.3135828,,7.09E-01
8.66E-01,,8.66E-01,,1.90592482,,-1.31043231,,-2.65E-01
5.04E+00,,5.04E+00,,1.24436928,,0,,2.13E+00
-4.28E+00,,-4.28E+00,,-0.40355368,,-3.35771904,,-3.88E+00
-9.34E-02,,-8.34E-02,,3.05619315,,8.21578313,,3.29E-01
2.59E+00,,2.59E+00,,0.25174977,,10.37283081,,1.11E+00
1.64E+00,,1.64E+00,,2.53513432,,1.51176769,,1.19E+00
-8.57E-01,,-9.78E-01,,-1.14073666,,-0.73429137,,-3.09E-01
2.26E+00,,2.26E+00,,0.34424017,,11.75912517,,2.06E+00
-6.25E-01,,-6.25E-01,,-1.12663668,,0.33535409,,3.37E-01
1.44E+00,,1.44E+00,,2.31068397,,-12.66763809,,1.18E+00
-5.94E-02,,-5.94E-02,,0.25131652,,-3.1539871,,-5.00E-01
3.54E+00,,3.54E+00,,0.6648659,,-2.96281067,,1.65E+00
2.11E+00,,2.10E+00,,4.68049808,,0.67486561,,-4.80E-01
1.07E+00,,1.07E+00,,0.47569966,,-11.75912517,,1.99E-01
1.68E+00,,1.68E+00,,3.29690304,,-6.52416975,,3.34E+00
