Sector,Dep,Impactado,Saldo,Desembolso_mes,Saldo Promedio,Deuda Sistea,Pasivo,Turismo,Sector de Impacto,Venta,Venta Formal,Pasivo_desembolso,Deuda rezagada va,Deuda rezagada vr,pasivo rezagada va,pasivo rezagada vr,Pasivo_desembolso da,Pasivo_desembolso dr
INDUSTRIA,Lima,0,56643.10092,0,28321.55046,31365.73,5876.82,0,3,108400,43741.08,5876.82,-800.65,-0.024890895,830.82,0.164649227,830.82,0.164649227
COMERCIO,Arequipa,0,190313.9946,0,63437.99818,64864.99,4467.4,0,4,105300,69737.17,4467.4,-2810.52,-0.041529351,-7043.43,-0.611895928,-7043.43,-0.611895928
SERVICIO,Amazonas,0,547601.5736,0,182533.8579,200239.32,5000.92,0,1,86600,79178.83,5000.92,653.68,0.003275186,2000.92,0.666973333,2000.92,0.666973333
INDUSTRIA,Lima,0,283914.2084,0,94638.06947,112945.17,325.5,0,3,103000,0,325.5,14820.77,0.151040618,-17128.3,-0.981350766,-17128.3,-0.981350766
COMERCIO,Cusco,0,142296.4384,0,47432.14612,144877.21,0,0,4,172920,171999.33,0,17468.6,0.137106904,-2071.8,-1,-2071.8,-1
COMERCIO,Lima,0,456005.0953,0,152001.6984,136066.81,0.07,0,1,188660,0,0.07,-6302.57,-0.04426914,0,0,0,0
COMERCIO,La Libertad,0,76984.28362,0,25661.42787,66740.43,7650.64,0,1,22055,5000,7650.64,-5973.05,-0.082145016,248.61,0.033586732,248.61,0.033586732
COMERCIO,Lima,0,235218.9089,0,78406.30297,75528.86,116242.11,0,3,97400,5977.67,116242.11,1442.01,0.019463778,-96110.34,-0.452598216,-96110.34,-0.452598216
COMERCIO,Cajamarca,0,531200.5444,0,177066.8481,177393.15,0,0,4,441000,32673.33,0,-73855.46,-0.293953706,-55000,-1,-55000,-1
COMERCIO,Moquegua,0,138737.753,0,46245.91766,47034.4,688.55,0,3,105000,0,688.55,-2250.13,-0.045655909,-81172.46,-0.991588792,-81172.46,-0.991588792
SERVICIO,Arequipa,0,220526.2177,0,73508.73924,97994.85,14296.98,0,3,47600,0,14296.98,3835.27,0.040731596,-705.65,-0.047035087,-705.65,-0.047035087
SERVICIO,La Libertad,0,568528.9923,0,189509.6641,294388.82,89956.49,0,3,66000,65370.67,89956.49,-8875.98,-0.029268085,87854.83,41.80258938,87854.83,41.80258938
COMERCIO,Arequipa,0,172600.4123,0,86300.20616,1242559.68,647721.16,0,4,1318145,1037155.83,647721.16,115313.99,0.102297122,-399479.52,-0.381473702,-247170.2054,-0.276201352
SERVICIO,Arequipa,0,52534.94149,0,17511.64716,27913.23,2524.58,0,4,20000,6213.33,2524.58,-10981.08,-0.282331272,-1310.36,-0.341689831,-1310.36,-0.341689831
COMERCIO,Loreto,0,522160.8614,0,174053.6205,457073.99,5894.54,0,1,146450,147656.33,5894.54,81174.25,0.215946545,-3966.1,-0.402215272,-3966.1,-0.402215272
COMERCIO,Pasco,0,30532.8764,0,10177.62547,10324.37,1740.73,0,4,69500,8333,1740.73,-1710.63,-0.142137931,1740.45,6215.892857,1740.45,6215.892857
SERVICIO,Moquegua,0,89476.63236,0,29825.54412,35112.57,0.27,1,4,67470,15715.67,0.27,1171.71,0.034522107,-0.01,-0.035714286,-0.01,-0.035714286
COMERCIO,La Libertad,0,356445.3294,0,118815.1098,120934.41,5023.93,0,4,208420,134629.25,5023.93,-4193.89,-0.033516718,3987.16,3.84575171,3987.16,3.84575171
SERVICIO,Moquegua,0,513789.9745,0,171263.3248,1367659.53,40443.16,0,2,172260,196914.33,40443.16,134733.85,0.109279782,-292725,-0.878610369,-292725,-0.878610369
SERVICIO,Arequipa,0,119999.9893,0,39999.99643,220279.58,10213.11,0,3,69500,8333,10213.11,0,0,8914.19,6.862770609,8914.19,6.862770609
COMERCIO,Lima,0,35971.77681,0,11990.59227,13877.41,0.76,0,3,280000,0,0.76,1014.75,0.078891147,-0.02,-0.025641026,-0.02,-0.025641026
SERVICIO,Cajamarca,0,52788.10422,0,17596.03474,28414.65,0.02,0,3,69500,8333,0.02,-379.66,-0.013185244,0.01,1,0.01,1
INDUSTRIA,Arequipa,0,128382.545,0,42794.18168,42566.08,2558.31,0,3,96240,5166.67,2528.565,-1433.91,-0.032588871,-3174.29,-0.550923754,-2548.5,-0.543144434
COMERCIO,Lima,0,541549.2071,0,180516.4024,487164.09,132988.59,0,1,101850,126147.33,132988.59,-18282.9,-0.036171746,32678.02,0.325768461,32678.02,0.325768461
COMERCIO,Lima,0,173322.6616,0,57774.22053,56499.67,2558.31,0,1,69500,8333,2528.565,-1883.43,-0.032259849,-3174.29,-0.550923754,-2548.5,-0.543144434
COMERCIO,La Libertad,0,145612.8282,0,48537.60939,48550.08,1.45,1,3,106240,0,1.45,-6647.86,-0.120436741,-10667.24,-0.999864088,-10667.24,-0.999864088
SERVICIO,Arequipa,0,79244.68688,0,26414.89563,26701.01,2558.31,0,4,1.00E+05,94425.75,2528.565,1940.26,0.078360308,-3174.29,-0.550923754,-2548.5,-0.543144434
COMERCIO,Arequipa,0,31178.67611,0,10392.89204,29412.78,2558.31,0,3,60000,8000,2528.565,-7033.75,-0.192988194,-3174.29,-0.550923754,-2548.5,-0.543144434
SERVICIO,Arequipa,0,626578.8327,0,208859.6109,250467.73,98849.29,0,3,101400,101011.58,98849.29,-109410.34,-0.304020581,-18110.71,-0.154845332,-18110.71,-0.154845332
COMERCIO,Junín,0,148933.9158,0,49644.63859,48555.6,0.21,0,1,183550,0,0.21,-2008.4,-0.039719959,-0.01,-0.045454545,-0.01,-0.045454545
COMERCIO,Cajamarca,0,244225.7127,0,82224.11698,154027.21,2558.31,0,3,69500,8333,2528.565,-2179.09,-0.014269172,-3174.29,-0.550923754,-2548.5,-0.543144434
COMERCIO,Junín,0,244225.7127,0,82224.11698,154027.21,2558.31,0,3,69500,8333,2528.565,-2179.09,-0.014269172,-3174.29,-0.550923754,-2548.5,-0.543144434
SERVICIO,San Martín,0,387042.7644,0,129014.2548,128991.4,2558.31,0,4,97670,29776,2528.565,-2549.73,-0.019383519,-3174.29,-0.550923754,-2548.5,-0.543144434
COMERCIO,Junín,0,59541.31826,0,19847.10609,19372.82,2558.31,0,3,57400,0,2528.565,-1304.75,-0.063099774,-3174.29,-0.550923754,-2548.5,-0.543144434
COMERCIO,Lima,0,622501.9592,0,207500.6531,207542.61,1744.4,0,3,120100,35788.08,1744.4,-82020.5,-0.28325604,-19967.68,-0.919657628,-19967.68,-0.919657628
COMERCIO,Arequipa,0,1145804.375,0,381934.7916,389776.6,28158.88,0,4,175000,100119,28158.88,-5188.22,-0.013135904,-17580.22,-0.384358678,-17580.22,-0.384358678
COMERCIO,Ica,0,98242.41318,0,32747.47106,66122.92,1043.49,0,1,39600,0,1043.49,1164.75,0.01793077,-8957.54,-0.895661747,-8957.54,-0.895661747
COMERCIO,Piura,0,220136.7168,0,73378.90561,112772.91,2558.31,0,1,29000,0,2528.565,1059.9,0.009487704,-3174.29,-0.550923754,-2548.5,-0.543144434
COMERCIO,Pasco,0,689474.6553,0,229824.8851,408554.29,201189.35,0,1,86750,23312,201189.35,-13011.68,-0.03086511,-51253.17,-0.20302907,-51253.17,-0.20302907
COMERCIO,Pasco,0,244225.7127,0,82224.11698,154027.21,2558.31,0,3,69500,8333,2528.565,-2179.09,-0.014269172,-3174.29,-0.550923754,-2548.5,-0.543144434
COMERCIO,Junín,0,244225.7127,0,82224.11698,154027.21,2558.31,0,3,69500,8333,2528.565,-2179.09,-0.014269172,-3174.29,-0.550923754,-2548.5,-0.543144434
INDUSTRIA,Lambayeque,0,1500595.039,0,500198.3462,503648.1,12646.79,0,3,80010,55327.67,12646.79,-6265.41,-0.012287201,-20886.68,-0.622860682,-20886.68,-0.622860682
COMERCIO,Ica,0,70871.86454,0,23623.95485,22736.69,5329.15,0,1,11850,0,5329.15,-2373.53,-0.094524461,3070.76,1.359712007,3070.76,1.359712007
COMERCIO,Lima,0,69618.64818,0,23206.21606,28536.8,33712.1,0,4,95000,99787.67,33712.1,-1736.67,-0.05736607,-30535.34,-0.475277147,-30535.34,-0.475277147
SERVICIO,Callao,0,46841.52932,0,15613.84311,15635,97303.71,0,3,161600,163141.83,97303.71,-3747.34,-0.193337853,-60860.82,-0.384794366,-60860.82,-0.384794366
SERVICIO,Lima,0,25401.16769,0,8467.055897,9314.77,2558.31,0,4,13775,0,2528.565,-564.76,-0.057164663,-3174.29,-0.550923754,-2548.5,-0.543144434
COMERCIO,Lima,0,464866.2578,0,154955.4193,434089.85,2965.75,0,4,120000,87321.58,2965.75,5938.71,0.013870593,-30117.13,-0.910353935,-30117.13,-0.910353935
COMERCIO,San Martín,0,347382.7499,0,115794.25,118950.31,4261.37,0,3,78000,82494.08,4261.37,5405.36,0.047605464,-100834.33,-0.95945248,-100834.33,-0.95945248
SERVICIO,Moquegua,0,1222801.048,0,407600.3492,414105.31,18350.03,0,4,201100,28987.58,18350.03,2543.16,0.006179285,14177,3.397291656,14177,3.397291656
SERVICIO,Pasco,0,147833.6804,0,49277.89347,99792.3,5600,0,3,57800,0,5600,22738.82,0.295104387,99.92,0.018167009,99.92,0.018167009
COMERCIO,Piura,0,207926.2988,0,69308.76625,150663.79,2.93,0,3,81050,6906,2.93,-1600.06,-0.010508469,-1.31,-0.308962264,-1.31,-0.308962264
COMERCIO,Piura,0,3228109.612,0,1076036.537,1328890.61,7971.1,0,4,260650,157294.33,7971.1,-6944.6,-0.005198695,-86069.93,-0.915238062,-86069.93,-0.915238062
COMERCIO,Arequipa,0,241384.59,0,80461.53001,79055.77,2558.31,0,3,77000,0,2528.565,0,0,-3174.29,-0.550923754,-2548.5,-0.543144434
INDUSTRIA,Junín,0,460595.6854,0,153531.8951,520744.94,45788.08,0,3,145390,95988.75,45788.08,-18083.11,-0.033560075,31725.8,2.256092184,31725.8,2.256092184
INDUSTRIA,Arequipa,0,2345635.608,0,781878.536,793167.25,9659.04,0,2,253000,70086.42,9659.04,-8966.66,-0.011178508,8753.49,9.666489979,8753.49,9.666489979
INDUSTRIA,Arequipa,0,131735.1485,0,43911.71617,62504.19,4350.09,0,3,40000,0,4350.09,-2192.89,-0.033894729,-1152.34,-0.209423836,-1152.34,-0.209423836
COMERCIO,Arequipa,0,205771.9132,0,68590.63772,796335.27,3975.09,0,1,1.00E+05,0,3975.09,-4427.41,-0.005528991,2575.04,1.839248598,2575.04,1.839248598
COMERCIO,Tumbes,0,24490.09379,0,8163.364597,14899.43,1335.87,0,4,14700,0,1335.87,-3413.32,-0.186390356,1335.66,6360.285714,1335.66,6360.285714
COMERCIO,Moquegua,0,13598.47164,0,4532.82388,104256.04,4650,0,3,39400,0,4650,-31501.75,-0.232043774,-200,-0.041237113,-200,-0.041237113
INDUSTRIA,Lima,0,160848.4948,0,53616.16493,105348.46,11671.11,0,2,86700,20265,11671.11,7604.71,0.077802519,4725.53,0.680365067,4725.53,0.680365067
COMERCIO,Loreto,0,244225.7127,0,82224.11698,154027.21,2558.31,0,3,69500,8333,2528.565,-2179.09,-0.014269172,-3174.29,-0.550923754,-2548.5,-0.543144434
SERVICIO,Ica,0,2439698.138,0,813232.7125,923476.81,48621.11,0,3,274850,269896.17,48621.11,-15676.53,-0.016692194,-167233.4,-0.774750548,-167233.4,-0.774750548
COMERCIO,Moquegua,0,3686.85783,0,1228.95261,1249.83,0.29,0,3,69500,8333,0.29,-61.67,-0.047022493,-0.03,-0.09375,-0.03,-0.09375
COMERCIO,Lambayeque,0,305228.7529,0,101742.9176,128487.34,2558.31,0,4,82000,11823.67,2528.565,32505.76,0.338666648,-3174.29,-0.550923754,-2548.5,-0.543144434
COMERCIO,Arequipa,0,150891.3255,0,50297.10851,103601.43,70311.1,0,4,120000,63272.92,70311.1,-6283.3,-0.057180829,50561.1,2.560055696,50561.1,2.560055696
SERVICIO,Lima,0,15328.90047,0,5109.63349,5099.58,0.11,1,4,50000,7900,0.11,-508.05,-0.090599772,-0.01,-0.083333333,-0.01,-0.083333333
COMERCIO,La Libertad,0,1190832.581,0,396944.1935,441917.51,13053.31,0,4,200844.8,116665.17,13053.31,44973.28,0.113298737,9180.39,2.370405276,9180.39,2.370405276
COMERCIO,Loreto,0,742787.6197,0,247595.8732,410079.38,26077.55,0,1,179956,128871.92,26077.55,-16030.64,-0.037620894,-14499.23,-0.357328255,-14499.23,-0.357328255
COMERCIO,San Martín,0,651580.4346,0,239444.9024,263998.12,8078.4,0,4,113595,159229.83,8078.4,1425.59,0.005429319,-114792.38,-0.934252879,-48038.20986,-0.856042622
SERVICIO,Lima,0,41430.05666,0,13810.01889,17004.1,2278.5,0,1,52864,24316.08,2278.5,517.75,0.031404768,-4006,-0.637441324,-4006,-0.637441324
SERVICIO,Lima,0,349734.0718,0,116578.0239,120395.25,56879.47,0,4,55000,55639.92,56879.47,5897.01,0.051503062,-26108.7,-0.314607492,-26108.7,-0.314607492
COMERCIO,Lima,0,422923.6681,0,140974.556,150048.29,6000,0,4,123200,0,6000,2645.73,0.01794901,-59121.9,-0.907865096,-59121.9,-0.907865096
SERVICIO,Lima,0,470460.6206,0,156820.2069,156038.02,0,0,3,197400,195931.75,0,-15632.39,-0.09106048,-7356.34,-1,-7356.34,-1
SERVICIO,La Libertad,0,244225.7127,0,82224.11698,154027.21,2558.31,0,3,69500,8333,2528.565,-2179.09,-0.014269172,-3174.29,-0.550923754,-2548.5,-0.543144434
SERVICIO,Arequipa,0,69229.71927,0,23076.57309,23084.91,3954.39,1,4,29400,11240.75,3954.39,-1756.56,-0.070710791,-1338.24,-0.252849717,-1338.24,-0.252849717
SERVICIO,Lima,0,233079.724,0,77693.24133,77718.12,26344.19,0,3,238500,119125.83,26344.19,1486.16,0.019495235,-12424.73,-0.320481716,-12424.73,-0.320481716
COMERCIO,Arequipa,0,54922.04134,0,18307.34711,18359.25,2558.31,0,1,13550,4000,2528.565,-198.53,-0.010697939,-3174.29,-0.550923754,-2548.5,-0.543144434
COMERCIO,La Libertad,0,103885.7344,0,34628.57813,38973.22,2558.31,0,4,171675,64498.67,2528.565,-5998.46,-0.133383054,-3174.29,-0.550923754,-2548.5,-0.543144434
SERVICIO,Piura,0,958711.581,0,319570.527,319695.4,2558.31,0,4,146000,67207.67,2528.565,-11944.55,-0.03601662,-3174.29,-0.550923754,-2548.5,-0.543144434
SERVICIO,Lima,0,446623.5002,0,148874.5001,158562.54,25539.15,0,2,70000,0,25539.15,458.78,0.002901765,8059.6,0.461087385,8059.6,0.461087385
COMERCIO,Cusco,0,2558813.814,0,852937.9381,1133158.12,184943.59,0,4,310012,209207.42,184943.59,-47397.15,-0.040148184,121167,1.899866393,121167,1.899866393
SERVICIO,Lima,0,461263.2461,0,153754.4154,238317.09,10622.54,0,4,81000,49342.67,10622.54,-3397.74,-0.014056812,-4291.52,-0.287749949,-4291.52,-0.287749949
SERVICIO,Piura,0,15750.21954,0,5250.07318,569570.51,2558.31,0,4,47320,7612.92,2528.565,-3672.66,-0.00640681,-3174.29,-0.550923754,-2548.5,-0.543144434
INDUSTRIA,Arequipa,0,244225.7127,0,82224.11698,154027.21,2558.31,0,3,69500,8333,2528.565,-2179.09,-0.014269172,-3174.29,-0.550923754,-2548.5,-0.543144434
SERVICIO,Lima,0,306082.7542,0,102027.5847,100485.24,2558.31,1,3,92800,43271.08,2528.565,-2561.28,-0.02485557,-3174.29,-0.550923754,-2548.5,-0.543144434
COMERCIO,Piura,0,3251577.834,0,1083859.278,1081363.7,21847.85,0,4,387500,462216.5,21847.85,-4359.12,-0.004014947,-35399.81,-0.618362567,-35399.81,-0.618362567
