Saldo,Saldo Promedio,Deuda Sistea,Pasivo,Venta
56643.10092,28321.55046,31365.73,5876.82,108400
190313.9946,63437.99818,64864.99,4467.4,105300
547601.5736,182533.8579,200239.32,5000.92,86600
283914.2084,94638.06947,112945.17,325.5,103000
142296.4384,47432.14612,144877.21,0,172920
456005.0953,152001.6984,136066.81,0.07,188660
76984.28362,25661.42787,66740.43,7650.64,22055
235218.9089,78406.30297,75528.86,116242.11,97400
531200.5444,177066.8481,177393.15,0,441000
138737.753,46245.91766,47034.4,688.55,105000
220526.2177,73508.73924,97994.85,14296.98,47600
568528.9923,189509.6641,294388.82,89956.49,66000
172600.4123,86300.20616,1242559.68,647721.16,1318145
52534.94149,17511.64716,27913.23,2524.58,20000
522160.8614,174053.6205,457073.99,5894.54,146450
30532.8764,10177.62547,10324.37,1740.73,69500
89476.63236,29825.54412,35112.57,0.27,67470
356445.3294,118815.1098,120934.41,5023.93,208420
513789.9745,171263.3248,1367659.53,40443.16,172260
119999.9893,39999.99643,220279.58,10213.11,69500
35971.77681,11990.59227,13877.41,0.76,280000
52788.10422,17596.03474,28414.65,0.02,69500
128382.545,42794.18168,42566.08,2558.31,96240
541549.2071,180516.4024,487164.09,132988.59,101850
173322.6616,57774.22053,56499.67,2558.31,69500
145612.8282,48537.60939,48550.08,1.45,106240
79244.68688,26414.89563,26701.01,2558.31,1.00E+05
31178.67611,10392.89204,29412.78,2558.31,60000
626578.8327,208859.6109,250467.73,98849.29,101400
148933.9158,49644.63859,48555.6,0.21,183550
244225.7127,82224.11698,154027.21,2558.31,69500
244225.7127,82224.11698,154027.21,2558.31,69500
387042.7644,129014.2548,128991.4,2558.31,97670
59541.31826,19847.10609,19372.82,2558.31,57400
622501.9592,207500.6531,207542.61,1744.4,120100
1145804.375,381934.7916,389776.6,28158.88,175000
98242.41318,32747.47106,66122.92,1043.49,39600
220136.7168,73378.90561,112772.91,2558.31,29000
689474.6553,229824.8851,408554.29,201189.35,86750
244225.7127,82224.11698,154027.21,2558.31,69500
244225.7127,82224.11698,154027.21,2558.31,69500
1500595.039,500198.3462,503648.1,12646.79,80010
70871.86454,23623.95485,22736.69,5329.15,11850
69618.64818,23206.21606,28536.8,33712.1,95000
46841.52932,15613.84311,15635,97303.71,161600
25401.16769,8467.055897,9314.77,2558.31,13775
464866.2578,154955.4193,434089.85,2965.75,120000
347382.7499,115794.25,118950.31,4261.37,78000
1222801.048,407600.3492,414105.31,18350.03,201100
147833.6804,49277.89347,99792.3,5600,57800
207926.2988,69308.76625,150663.79,2.93,81050
3228109.612,1076036.537,1328890.61,7971.1,260650
241384.59,80461.53001,79055.77,2558.31,77000
460595.6854,153531.8951,520744.94,45788.08,145390
2345635.608,781878.536,793167.25,9659.04,253000
131735.1485,43911.71617,62504.19,4350.09,40000
205771.9132,68590.63772,796335.27,3975.09,1.00E+05
24490.09379,8163.364597,14899.43,1335.87,14700
13598.47164,4532.82388,104256.04,4650,39400
160848.4948,53616.16493,105348.46,11671.11,86700
244225.7127,82224.11698,154027.21,2558.31,69500
2439698.138,813232.7125,923476.81,48621.11,274850
3686.85783,1228.95261,1249.83,0.29,69500
305228.7529,101742.9176,128487.34,2558.31,82000
150891.3255,50297.10851,103601.43,70311.1,120000
15328.90047,5109.63349,5099.58,0.11,50000
1190832.581,396944.1935,441917.51,13053.31,200844.8
742787.6197,247595.8732,410079.38,26077.55,179956
651580.4346,239444.9024,263998.12,8078.4,113595
41430.05666,13810.01889,17004.1,2278.5,52864
349734.0718,116578.0239,120395.25,56879.47,55000
422923.6681,140974.556,150048.29,6000,123200
470460.6206,156820.2069,156038.02,0,197400
244225.7127,82224.11698,154027.21,2558.31,69500
69229.71927,23076.57309,23084.91,3954.39,29400
233079.724,77693.24133,77718.12,26344.19,238500
54922.04134,18307.34711,18359.25,2558.31,13550
103885.7344,34628.57813,38973.22,2558.31,171675
958711.581,319570.527,319695.4,2558.31,146000
446623.5002,148874.5001,158562.54,25539.15,70000
2558813.814,852937.9381,1133158.12,184943.59,310012
461263.2461,153754.4154,238317.09,10622.54,81000
15750.21954,5250.07318,569570.51,2558.31,47320
244225.7127,82224.11698,154027.21,2558.31,69500
306082.7542,102027.5847,100485.24,2558.31,92800
3251577.834,1083859.278,1081363.7,21847.85,387500
1005216.192,335072.064,567229.99,335.52,178375
2017288.689,672429.5631,680320.96,1491.82,43000
2382969.573,794323.1908,797367.68,11601.27,326490
107394.6698,35798.22327,46041.07,0,70000
1974499.089,658166.363,877115.23,84731.45,352773
2082090.646,694030.2153,693987.76,145.21,72160
244225.7127,82224.11698,154027.21,2558.31,69500
622719.1467,207573.0489,212725.57,592851.07,1077473
261913.9311,87304.6437,150728.59,42,84350
244225.7127,82224.11698,154027.21,2558.31,69500
120614.2813,40204.76044,104592.02,2558.31,37650
244225.7127,82224.11698,154027.21,2558.31,69500
332309.9545,110769.9848,150257.39,96883.44,115000
721245.3669,240415.1223,274793.54,2558.31,64040
