Saldo-E,Saldo Promedio-E,Deuda Sistea-E,Pasivo-E,Venta-E
218752.0794,72917.35981,83730.71,37461.71,35500
10418.72805,3472.90935,3052.97,3194.57,17320
244225.7127,82224.11698,154027.21,2558.31,69500
244225.7127,82224.11698,154027.21,2558.31,69500
162443.6722,54147.89075,1354123.46,23618.14,27900
345418.1829,115139.3943,117149.61,22211.78,99142.82
156564.7199,52188.23997,51886.63,49472.82,66360
110049.3924,36683.13081,92158.92,2558.31,69500
160270.1463,53423.38209,52401.54,3683.55,56990
1402.51482,467.50494,33666.19,16132.24,463200
1706858.231,568952.7436,576133.42,33793.12,60100
71160.03505,23720.01168,23330.63,2558.31,36192
519062.3646,173020.7882,278462.81,27582.48,69800
438401.4251,146133.8084,212399.46,48856.4,120820
244225.7127,82224.11698,154027.21,2558.31,69500
136088.7699,45362.92329,103471.57,3500.14,36000
84856.54961,28285.51654,109869.78,0,18000
150833.3837,50277.79456,50516.07,2558.31,13900
222376.0481,74125.34937,88591.41,2558.31,13000
161804.9658,53934.98861,53156.52,60176.96,168285
680836.9131,226945.6377,226044.14,160,365236
44045.76027,14681.92009,20139.13,2558.31,35000
89445.3215,29815.10717,29821.03,761.57,19120
122330.1581,40776.71938,246723.3,5312.33,57500
174086.1882,58028.72941,188989.67,42507.5,36650
323598.6615,107866.2205,123397.33,988.05,52604
220036.904,73345.63467,82379.62,304681.77,247860
148194.0959,49398.03197,49372.74,5015.78,27200
394370.7887,131456.9296,779470,2430.46,72274
192914.0203,96457.01013,99899.2,436.45,24060
95490.07828,31830.02609,131166.06,2558.31,37240
47992.60814,15997.53605,15278.48,0.01,153550
1623234.514,541078.1713,595165.15,651.24,265400
92452.75399,30817.58466,30805.68,2558.31,24100
431518.8198,143839.2623,154211.14,42126.6,69500
1206728.953,402242.9843,582431.84,3075.91,169305
20006.30121,6668.76707,51428.83,0.29,25000
147059.3767,49019.79224,188172.55,2558.31,140300
100409.8251,33469.9417,35311.01,23849.39,54400
68645.83483,22881.94494,239473.54,77232.91,132400
125516.365,41838.78834,41440.54,0,70750
217817.3915,72605.79716,259047.62,9720.07,50000
14350.79804,4783.599347,169496.85,3358,96500
1104470.492,368156.8308,381356.44,3197.45,20000
190041.0106,63347.00353,94206.87,2558.31,15780
1817995.274,605998.4247,723299.31,888.01,183988
4209.75333,1403.25111,4025.92,34659.24,120001.5
271660.8286,90553.60954,90592.26,6.4,15248
322321.2514,107440.4171,108951.17,2694.41,98961
68424.80188,22808.26729,75827.33,1715,76040
176152.5166,58717.50552,58742.14,2558.31,264000
1357602.794,452534.2646,825839.2,6807.73,339900
325568.8757,108522.9586,126989.94,0.64,183000
988144.6653,329381.5551,331924.77,325.5,148679.6
15122.47972,5040.826573,4897.07,2558.31,30000
545875.2581,181958.4194,173186.75,95792.1,99000
88925.76125,29641.92042,29462.47,2558.31,27490.8
1772564.284,590854.7612,590774.88,0,711500
53389.80282,17796.60094,17791.45,2280.5,31000
134481.5171,44827.17237,102636.81,2786.4,37400
268136.883,89378.96098,87655.15,2558.31,50000
64579.63102,21526.54367,118591.82,12237.26,40200
24806.47268,8268.824227,4737.05,53294.4,71600
22923.52172,7641.173907,12109,2558.31,27100
219722.7511,73240.91703,76682.08,2558.31,117900
1096852.935,365617.6451,363941.53,639.07,98710
231600.4851,77200.16171,75977.39,2558.31,61100
88318.26242,29439.42081,59858.23,2558.31,38000
239280.5221,79760.17403,79765.48,29952.9,184300
97591.95883,36722.23304,43790.07,13265.2,72000
240169.7583,80056.5861,81731.87,16151,52926
854.68104,284.89368,286.33,2020.01,30030
48958.09002,16319.36334,19321.43,2558.31,25170
132561.7378,44187.24593,108932.06,2558.31,75012
1217093.561,405697.8537,418590.16,31847.74,100640
435559.1798,145186.3933,165734.07,603.98,170210
1087393.267,362464.4223,464660.36,73483.87,350000
30810.31891,10270.1063,52924.64,4060.29,69500
227311.7359,75770.57865,90400.26,2830.04,45000
759586.569,253195.523,618322.53,175816.46,485700
16983.54076,5661.180253,6179.67,50,71900
489480.0119,163160.004,305816.03,2558.31,133500
1976146.083,658715.3609,754138.23,4996.72,57905
248418.6856,93913.20936,185618.86,139851.43,152550
8859.24929,2953.083097,80228.82,0.08,17876
412802.2207,137600.7402,160782.64,2558.31,52050
514581.4694,171527.1565,338832.16,46408.04,208500
244225.7127,82224.11698,154027.21,2558.31,69500
206299.3628,68766.45427,55428,2558.31,130500
29421.62609,9807.208697,9436.14,6.94,70000
674290.779,224763.593,252716.7,337107.65,289000
244225.7127,82224.11698,154027.21,2558.31,69500
34395.29255,11465.09752,10738.31,5331.53,10450
115506.6575,38502.21916,83892.22,26.63,38150
23404.1228,7801.374267,90253.43,716.11,25060
272435.7498,90811.91659,230599.62,20881.74,121950
50617.66762,25308.83381,25001.25,0.02,40000
9275.44963,3091.816543,6081.01,0.01,69500
90194.14818,30064.71606,20540.23,2558.31,53320
86086.20852,28695.40284,194773.18,2558.31,40100
